"Designator,""Footprint"",""Mid X"",""Mid Y"",""Ref X"",""Ref Y"",""Pad X"",""Pad Y"",""Layer"",""Rotation"",""Comment"""
"T63,""SOT23_3L_ReflowSoldering"",""343.75mil"",""2356.25mil"",""343.75mil"",""2356.25mil"",""382.136mil"",""2399.557mil"",""T"",""90.00"",""BC847C"""
"T62,""SOT23_3L_ReflowSoldering"",""243.75mil"",""2631.25mil"",""243.75mil"",""2631.25mil"",""282.136mil"",""2674.557mil"",""T"",""90.00"",""BC857C"""
"T61,""SOT23_3L_ReflowSoldering"",""556.25mil"",""2668.75mil"",""556.25mil"",""2668.75mil"",""594.636mil"",""2712.057mil"",""T"",""90.00"",""BC847C"""
"T60,""SOT23_3L_ReflowSoldering"",""575mil"",""2400mil"",""575mil"",""2400mil"",""613.386mil"",""2443.307mil"",""T"",""90.00"",""BC857C"""
"T59,""SOT23_3L_ReflowSoldering"",""8075mil"",""2125mil"",""8075mil"",""2125mil"",""8036.614mil"",""2081.693mil"",""T"",""270.00"",""MMBT5551LT1G"""
"T58,""SOT23_3L_ReflowSoldering"",""7870mil"",""2125mil"",""7870mil"",""2125mil"",""7831.614mil"",""2081.693mil"",""T"",""270.00"",""MMBT5551LT1G"""
"T50,""SOT23_3L_ReflowSoldering"",""8080mil"",""2275mil"",""8080mil"",""2275mil"",""8041.614mil"",""2231.693mil"",""T"",""270.00"",""MMBT5551LT1G"""
"T44,""SOT23_3L_ReflowSoldering"",""7761.26mil"",""1420mil"",""7761.26mil"",""1420mil"",""7804.567mil"",""1381.614mil"",""T"",""0.00"",""BC847C"""
"T37,""SOT23_3L_ReflowSoldering"",""7880mil"",""2275mil"",""7880mil"",""2275mil"",""7841.614mil"",""2231.693mil"",""T"",""270.00"",""MMBT5551LT1G"""
"T35,""DPAK_Specifique_1"",""8346.732mil"",""2392.756mil"",""8488.464mil"",""2392.756mil"",""8205mil"",""2483.307mil"",""T"",""180.00"",""NJD1718T4G"""
"T34,""SOT23_3L_ReflowSoldering"",""8300mil"",""1418.75mil"",""8300mil"",""1418.75mil"",""8343.307mil"",""1380.364mil"",""T"",""360.00"",""BC847C"""
"T33,""SOT23_3L_ReflowSoldering"",""8185mil"",""1605mil"",""8185mil"",""1605mil"",""8141.693mil"",""1643.386mil"",""T"",""180.00"",""BC847C"""
"T32,""DPAK_Specifique_1"",""8502.244mil"",""1696.732mil"",""8502.244mil"",""1838.464mil"",""8411.693mil"",""1555mil"",""T"",""270.00"",""NTD2955G"""
